CUSTOM,custom,c,CommonAuthorities,0
",",",",s,Aside,0
which,which,s,Aside,1
every,every,s,Generalization,0
where,where,s,,0
bears,bears,s,SenseObject,0
mighty,mighty,s,Intensity,0
Sway,sway,c,Motions,0
",",",",n,,0
Brings,brings,s,,0
me,me,s,FirstPer,0
to,to,s,,0
act,act,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Orator,orator,s,PersonProperty,0
to,to,s,,0
Day,day,c,TimeDuration,0
:,:,n,,0
But,but,s,Resistance,0
Women,women,c,PersonProperty,0
",",",",s,,0
you,you,s,DirectAddress,0
will,will,s,PredictedFuture,0
say,say,c,Citations,0
",",",",s,,0
are,are,s,ReportingStates,0
ill,ill,s,Negativity,0
at,at,s,,0
Speeches,speeches,c,LangRef,0
",",",",n,,0
It,it,s,ConfirmedThght,0
Is,is,s,ConfirmedThght,1
true,true,c,ConfirmedThght,2
",",",",s,,0
and,and,s,,0
therefore,therefore,s,ReasonForward,0
I,i,s,FirstPer,0
appear,appear,s,SpaceRelation,0
in,in,s,SpaceRelation,1
Breeches,breeches,c,SenseObject,0
:,:,n,,0
Not,not,s,DenyDisclaim,0
for,for,s,Example,0
Example,example,s,Example,1
to,to,s,DirectAddress,0
you,you,s,DirectAddress,1
City-Wives,city-wives,c,UNRECOGNIZED,0
;,;,n,,0
That,that,s,,0
by,by,s,,0
Prescription's,prescription's,s,UNRECOGNIZED,0
settled,settled,s,SubjectivePercept,0
for,for,s,SubjectivePercept,1
your,your,s,DirectAddress,0
Lives,lives,c,DirectAddress,1
.,.,n,,0
Was,was,s,ProjectBack,0
it,it,s,,0
for,for,s,ProjectAhead,0
gain,gain,s,ProjectAhead,1
the,the,s,PersonProperty,0
Husband,husband,s,PersonProperty,1
first,first,s,Sequence,0
consented,consented,c,CommonAuthorities,0
?,?,n,Question,0
O,o,s,LangRef,0
yes,yes,c,OralCues,0
",",",",s,OralCues,1
their,their,s,PersonPronoun,0
Gains,gains,s,StandardsPos,0
are,are,s,ReportingStates,0
mightily,mightily,s,Intensity,0
augmented,augmented,c,Transformation,0
:,:,n,,0
And,and,s,Resistance,0
yet,yet,c,Resistance,1
",",",",s,,0
methinks,methinks,c,SelfDisclosure,0
",",",",s,,0
it,it,s,Insist,0
must,must,s,Insist,1
havecost,havecost,s,UNRECOGNIZED,0
some,some,s,Uncertainty,0
Strife,strife,c,Negativity,0
:,:,n,,0
A,a,s,,0
Passive,passive,s,Negativity,0
Husband,husband,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
an,an,s,,0
Active,active,s,,0
Wife,wife,c,PersonProperty,0
!,!,n,,0
It,it,s,,0
Is,is,s,ReportingStates,0
awkward,awkward,c,Negativity,0
",",",",s,Intensity,0
very,very,s,Intensity,1
awkward,awkward,c,Negativity,0
",",",",s,,0
by,by,s,,0
my,my,s,Autobio,0
Life,life,c,Autobio,1
.,.,n,Resistance,0
But,but,s,Resistance,1
to,to,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
Speech,speech,c,LangRef,0
",",",",s,,0
Assemblies,assemblies,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
all,all,s,,0
Nations,nations,n,CommonAuthorities,0
Still,still,s,TimeDuration,0
are,are,s,TimeDuration,1
supposed,supposed,s,Insist,0
to,to,s,Insist,1
open,open,s,Sequence,0
with,with,s,Sequence,1
Orations,orations,c,AbstractConcepts,0
:,:,n,,0
Mine,mine,s,FirstPer,0
shall,shall,s,ProjectAhead,0
begin,begin,c,Sequence,0
",",",",s,,0
to,to,s,,0
show,show,s,ReportingEvents,0
our,our,s,Inclusive,0
Obligations,obligations,c,Responsibility,0
.,.,n,,0
To,to,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",s,,0
our,our,s,Inclusive,0
Benefactors,benefactors,c,StandardsPos,0
",",",",s,,0
lowly,lowly,s,Negativity,0
Bowing,bowing,c,Motions,0
",",",",n,,0
Whose,whose,s,PersonPronoun,0
Favors,favors,s,Positivity,0
have,have,s,,0
prevented,prevented,s,Negativity,0
our,our,s,Negativity,1
undoing,undoing,c,Negativity,0
;,;,n,,0
A,a,s,,0
long,long,s,SenseProperty,0
Egyptian,egyptian,s,,0
Bondage,bondage,s,Negativity,0
we,we,s,,0
endured,endured,c,Resistance,0
",",",",n,,0
Till,till,s,AbstractConcepts,0
Freedom,freedom,c,StandardsPos,0
",",",",s,,0
by,by,s,DirectAddress,0
your,your,s,DirectAddress,1
Justice,justice,s,StandardsPos,0
we,we,s,,0
procured,procured,c,,0
:,:,n,,0
Our,our,s,Inclusive,0
Taskmasters,taskmasters,s,Negativity,0
were,were,s,ProjectBack,0
grown,grown,s,ReportingEvents,0
such,such,s,Intensity,0
very,very,s,Intensity,0
Jews,jews,c,PersonProperty,0
",",",",n,,0
We,we,s,Insist,0
must,must,s,Insist,1
at,at,s,SubjectiveTime,0
length,length,s,SubjectiveTime,1
have,have,s,,0
Played,played,s,ReportingEvents,0
in,in,s,,0
Wooden,wooden,s,SenseObject,0
Shoes,shoes,c,SenseObject,1
",",",",n,,0
Had,had,s,ProjectBack,0
not,not,s,ProjectBack,1
your,your,s,DirectAddress,0
Bounty,bounty,s,StandardsPos,0
taught,taught,s,ReportingEvents,0
us,us,s,Inclusive,0
to,to,s,,0
refuse,refuse,c,Resistance,0
.,.,n,,0
Freedom's,freedom's,s,UNRECOGNIZED,0
of,of,s,,0
English,english,s,AbstractConcepts,0
growth,growth,c,Transformation,0
",",",",s,,0
I,i,s,SelfDisclosure,0
think,think,c,SelfDisclosure,1
",",",",s,,0
alone,alone,c,SpaceRelation,0
;,;,n,,0
What,what,s,Negativity,0
for,for,s,Negativity,1
lost,lost,s,Negativity,0
English,english,s,AbstractConcepts,0
Freedom,freedom,s,StandardsPos,0
can,can,s,Contingency,0
atone,atone,c,CommonAuthorities,0
?,?,n,Question,0
A,a,s,,0
Freeborn,freeborn,s,AbstractConcepts,0
Player,player,s,PersonProperty,0
loathes,loathes,s,Negative_Relation,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
compelled,compelled,c,CommonAuthorities,0
;,;,n,,0
Our,our,s,Inclusive,0
Rulers,rulers,s,PersonProperty,0
Tyraniz'd,tyraniz'd,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
We,we,s,,0
Rebelled,rebelled,c,ReportingStates,0
.,.,n,ReportingStates,1
Freedom,freedom,c,StandardsPos,0
!,!,s,,0
the,the,s,StandardsPos,0
Wise,wise,s,StandardsPos,1
Man's,man's,s,PersonProperty,0
Wish,wish,c,SubjectivePercept,0
",",",",s,,0
the,the,s,PersonProperty,0
Poor,poor,s,PersonProperty,1
Man's,man's,s,PersonProperty,2
Wealth,wealth,c,Positivity,0
;,;,n,,0
Which,which,s,,0
you,you,c,DirectAddress,0
",",",",s,,0
and,and,s,,0
I,i,c,FirstPer,0
",",",",s,,0
and,and,s,,0
most,most,s,Inclusive,0
of,of,s,Inclusive,1
us,us,s,Inclusive,2
enjoy,enjoy,s,Positivity,0
by,by,s,SubjectivePercept,0
Stealth,stealth,c,SubjectivePercept,1
;,;,n,,0
The,the,s,CommonAuthorities,0
Soul,soul,s,CommonAuthorities,1
of,of,s,CommonAuthorities,2
Pleasure,pleasure,c,Positivity,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Sweet,sweet,s,SenseProperty,0
of,of,s,CommonAuthorities,0
Life,life,c,CommonAuthorities,1
",",",",n,,0
The,the,s,PersonProperty,0
Woman's,woman's,s,PersonProperty,1
Charter,charter,c,CommonAuthorities,0
",",",",s,,0
Widow,widow,c,PersonProperty,0
",",",",s,,0
Maid,maid,s,PersonProperty,0
or,or,s,,0
Wife,wife,c,PersonProperty,0
",",",",n,,0
This,this,s,,0
they,they,s,Biographical_Time,0
would,would,s,Biographical_Time,1
have,have,s,,0
cancelled,cancelled,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
thence,thence,s,ProjectAhead,0
grew,grew,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
Strife,strife,c,Negativity,0
.,.,n,Resistance,0
But,but,s,Resistance,1
you,you,s,DirectAddress,0
perhaps,perhaps,c,Uncertainty,0
",",",",s,,0
would,would,s,Contingency,0
have,have,s,Contingency,1
me,me,s,Contingency,2
here,here,s,SpaceRelation,0
confess,confess,n,Disclosure,0
How,how,s,,0
we,we,s,,0
obtained,obtained,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
Favor,favor,c,Positivity,0
;,;,s,,0
--,--,s,,0
Cannot,cannot,s,DenyDisclaim,0
you,you,s,DirectAddress,0
guess,guess,c,Uncertainty,0
?,?,n,Question,0
Why,why,s,Curiosity,0
then,then,s,Curiosity,1
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
tell,tell,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",s,,0
(,(,c,,0
for,for,s,,0
I,i,s,FirstPer,0
hate,hate,s,Negativity,0
a,a,s,,0
Lie,lie,c,Motions,0
),),n,,0
By,by,s,,0
Brib'ry,brib'ry,c,UNRECOGNIZED,0
",",",",s,,0
errant,errant,s,StandardsNeg,0
Brib'ry,brib'ry,c,UNRECOGNIZED,0
",",",",s,,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
dye,dye,c,SenseObject,0
:,:,n,,0
I,i,s,Autobio,0
was,was,s,Autobio,1
their,their,s,PersonPronoun,0
Agent,agent,c,CommonAuthorities,0
",",",",s,Resistance,0
but,but,s,Resistance,1
by,by,s,,0
Jove,jove,s,,0
I,i,s,Self_Promise,0
swear,swear,n,Self_Promise,1
No,no,s,DenyDisclaim,0
honorable,honorable,s,StandardsPos,0
Member,member,s,AbstractConcepts,0
had,had,s,ProjectBack,0
a,a,s,,0
share,share,n,ReportingEvents,0
Though,though,s,Concessive,0
young,young,s,SenseProperty,0
and,and,s,,0
able,able,s,StandardsPos,0
Members,members,s,AbstractConcepts,0
bid,bid,s,ReportingEvents,0
me,me,s,FirstPer,0
Fair,fair,c,StandardsPos,0
:,:,n,,0
I,i,s,FirstPer,0
chose,chose,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
wiser,wiser,s,StandardsPos,0
way,way,s,AbstractConcepts,0
to,to,s,,0
make,make,s,DirectAddress,0
you,you,s,DirectAddress,1
willing,willing,c,SubjectivePercept,0
",",",",n,Aside,0
Which,which,s,Aside,1
has,has,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
cost,cost,s,AbstractConcepts,0
the,the,s,SenseObject,0
House,house,s,SenseObject,1
a,a,s,Exceptions,0
single,single,s,Exceptions,1
Shilling,shilling,c,Negativity,0
;,;,n,,0
Now,now,s,Immediacy,0
you,you,s,DirectAddress,0
suspect,suspect,s,Negativity,0
at,at,s,Aside,0
least,least,s,Aside,1
I,i,s,Aside,2
^,^,c,UNRECOGNIZED,0
ent,ent,s,UNRECOGNIZED,0
a,a,s,,0
Billing,billing,c,SenseProperty,0
.,.,n,,0
You,you,s,DirectAddress,0
see,see,s,DirectAddress,1
I,i,s,SelfDisclosure,0
Am,am,s,SelfDisclosure,1
Young,young,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
to,to,s,,0
that,that,s,,0
Air,air,s,SubjectivePercept,0
of,of,s,SubjectivePercept,1
Youth,youth,c,AbstractConcepts,0
",",",",n,,0
Some,some,s,Uncertainty,0
will,will,s,PredictedFuture,0
add,add,s,ReportingEvents,0
Beauty,beauty,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
a,a,s,SubjectivePercept,0
little,little,s,SubjectivePercept,1
Truth,truth,c,StandardsPos,0
;,;,n,,0
These,these,s,Immediacy,0
Powerful,powerful,s,Positivity,0
Charms,charms,c,Positivity,0
",",",",s,,0
improved,improved,s,StandardsPos,0
by,by,s,,0
Powerful,powerful,s,Positivity,0
Arts,arts,c,AbstractConcepts,0
",",",",n,,0
Prevailed,prevailed,s,ReportingEvents,0
to,to,s,,0
captivate,captivate,s,Positivity,0
your,your,s,DirectAddress,0
opening,opening,s,StandardsPos,0
Hearts,hearts,c,StandardsPos,1
.,.,n,,0
Thus,thus,s,ReasonForward,0
furnished,furnished,c,ReportingStates,0
",",",",s,ReportingStates,1
I,i,s,FirstPer,0
preferred,preferred,s,Positivity,0
my,my,s,FirstPer,0
poor,poor,s,Negativity,0
Petition,petition,c,AbstractConcepts,0
",",",",n,,0
And,and,s,,0
bribed,bribed,s,Negativity,0
ye,ye,s,OralCues,0
to,to,s,,0
commiserate,commiserate,s,Inclusive,0
our,our,s,Inclusive,0
Condition,condition,c,AbstractConcepts,0
:,:,n,,0
I,i,s,FirstPer,0
Laughed,laughed,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
Sighed,sighed,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
Sung,sung,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
Leer'd,leer'd,s,UNRECOGNIZED,0
upon,upon,s,,0
ye,ye,c,OralCues,0
;,;,n,,0
With,with,s,,0
Roguish,roguish,s,SubjectivePercept,0
Loving,loving,s,Positivity,0
Looks,looks,c,Positivity,1
",",",",s,,0
and,and,s,Metadiscourse,0
that,that,s,Metadiscourse,1
way,way,s,Metadiscourse,2
won,won,s,Positivity,0
ye,ye,c,OralCues,0
:,:,n,,0
The,the,s,,0
Young,young,s,PersonProperty,0
Men,men,s,PersonProperty,1
kissed,kissed,s,ReportingEvents,0
me,me,c,FirstPer,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Old,old,s,SenseProperty,0
I,i,s,FirstPer,0
kissed,kissed,c,ReportingStates,0
",",",",n,ReportingStates,1
And,and,s,,0
luringly,luringly,c,Positivity,0
",",",",s,,0
I,i,s,FirstPer,0
led,led,s,Narrative_Verbs,0
them,them,s,Narrative_Verbs,1
as,as,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
list,list,c,,0
.,.,n,,0
The,the,s,PersonProperty,0
Ladies,ladies,s,PersonProperty,1
in,in,s,,0
mere,mere,s,SubjectivePercept,0
Pity,pity,s,Sad,0
took,took,s,ReportingEvents,0
our,our,s,Inclusive,0
Parts,parts,c,AbstractConcepts,0
",",",",n,,0
Pity's,pity's,s,UNRECOGNIZED,0
the,the,s,Positivity,0
darling,darling,s,Positivity,1
Passion,passion,s,SubjectivePercept,0
of,of,s,,0
their,their,s,PersonPronoun,0
Hearts,hearts,c,SenseObject,0
.,.,n,,0
Thus,thus,s,ReasonForward,0
Bribing,bribing,c,Negativity,0
",",",",s,,0
or,or,s,,0
thus,thus,s,ReasonForward,0
Bribed,bribed,c,Negativity,0
",",",",s,,0
