SElf-love,self-love,s,StandardsPos,0
(,(,c,,0
which,which,s,DenyDisclaim,0
never,never,s,DenyDisclaim,1
rightly,rightly,s,StandardsPos,0
understood,understood,c,PrivateThinking,0
),),n,,0
Makes,makes,s,ReportingEvents,0
Poets,poets,s,PersonProperty,0
still,still,s,Updates,0
conclude,conclude,s,Sequence,0
their,their,s,PersonPronoun,0
Plays,plays,s,ReportingEvents,0
are,are,s,Positivity,0
good,good,c,Positivity,1
:,:,n,,0
And,and,s,,0
malice,malice,s,StandardsNeg,0
in,in,s,Generalization,0
all,all,s,Generalization,1
Critics,critics,s,PersonProperty,0
raigns,raigns,s,UNRECOGNIZED,0
so,so,s,Intensity,0
high,high,c,Intensity,1
",",",",n,,0
That,that,s,,0
for,for,s,,0
small,small,s,SenseProperty,0
Errors,errors,c,StandardsNeg,0
",",",",s,,0
they,they,s,,0
whole,whole,s,,0
Plays,plays,s,ReportingEvents,0
decry,decry,c,Negativity,0
;,;,n,,0
So,so,s,ReasonForward,0
that,that,s,ReasonForward,1
to,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
this,this,s,,0
fondness,fondness,c,Positivity,0
",",",",s,,0
and,and,s,,0
that,that,s,,0
spite,spite,c,Negative_Relation,0
",",",",n,,0
You,you,s,DirectAddress,0
Would,would,s,DirectAddress,1
think,think,s,PrivateThinking,0
that,that,s,PrivateThinking,1
none,none,s,DenyDisclaim,0
but,but,s,Resistance,0
Madmen,madmen,s,Anger,0
judge,judge,s,PrivateThinking,0
or,or,s,,0
write,write,c,ReportingEvents,0
.,.,n,,0
Therefore,therefore,s,ReasonForward,0
our,our,s,Inclusive,0
Poet,poet,c,PersonProperty,0
",",",",s,,0
as,as,s,TimeDuration,0
he,he,s,TimeDuration,1
thinks,thinks,s,PrivateThinking,0
not,not,s,StandardsNeg,0
fit,fit,n,StandardsNeg,1
TO,to,s,,0
impose,impose,s,StandardsNeg,0
upon,upon,s,StandardsNeg,1
you,you,c,DirectAddress,0
",",",",s,,0
what,what,s,,0
he,he,s,Citations,0
writes,writes,s,Citations,1
for,for,s,,0
Wit,wit,c,StandardsPos,0
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
hopes,hopes,s,ProjectAhead,0
that,that,s,ProjectAhead,1
leaving,leaving,s,,0
you,you,s,DirectAddress,0
your,your,s,DirectAddress,0
censures,censures,s,UNRECOGNIZED,0
free,free,c,AbstractConcepts,0
