EXpect,expect,s,ProjectAhead,0
not,not,s,DenyDisclaim,0
here,here,s,DenyDisclaim,1
a,a,s,SenseProperty,0
stately,stately,s,SenseProperty,1
Tragedy,tragedy,c,Negativity,0
",",",",n,,0
Nor,nor,s,DenyDisclaim,0
Comedy,comedy,s,Positivity,0
set,set,s,Sequence,0
out,out,c,Sequence,1
",",",",s,,0
with,with,s,,0
graceful,graceful,s,Positive_Attribution,0
shows,shows,c,ReportingEvents,0
",",",",n,,0
Of,of,s,,0
diverse,diverse,s,AbstractConcepts,0
kinds,kinds,c,Specifiers,0
",",",",s,,0
to,to,s,,0
please,please,s,Positivity,0
men's,men's,s,PersonProperty,0
greedy,greedy,s,Negativity,0
eyes,eyes,c,SenseObject,0
:,:,n,,0
Yet,yet,s,Resistance,0
what,what,s,,0
we,we,s,Inclusive,0
have,have,c,Inclusive,1
",",",",s,,0
we,we,s,,0
give,give,c,,0
",",",",s,,0
accept,accept,s,StandardsPos,0
it,it,s,Sequence,0
then,then,n,Sequence,1
With,with,s,StandardsPos,0
patience,patience,c,StandardsPos,1
",",",",s,,0
kindness,kindness,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
with,with,s,,0
thankfulness,thankfulness,c,Acknowledge,0
.,.,n,,0
The,the,s,,0
Author's,author's,s,CommunicatorRole,0
no,no,s,DenyDisclaim,0
Mechanique,mechanique,c,UNRECOGNIZED,0
",",",",s,,0
writes,writes,s,ReportingEvents,0
not,not,s,DenyDisclaim,0
for,for,s,ProjectAhead,0
gain,gain,c,ProjectAhead,1
;,;,n,Specifiers,0
Nor,nor,s,Specifiers,1
with,with,s,Specifiers,0
this,this,s,Specifiers,1
dish,dish,c,SenseObject,0
",",",",s,,0
thinks,thinks,s,ProjectAhead,0
to,to,s,ProjectAhead,1
fill,fill,s,,0
all,all,s,DirectAddress,0
your,your,s,DirectAddress,1
tastes,tastes,c,AbstractConcepts,0
",",",",n,,0
Only,only,c,SubjectivePercept,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
the,the,s,StandardsPos,0
learned,learned,c,StandardsPos,1
",",",",s,,0
and,and,s,,0
iuditious,iuditious,s,UNRECOGNIZED,0
sort,sort,c,AbstractConcepts,0
;,;,n,Resistance,0
Yet,yet,s,Resistance,1
would,would,s,ProjectBack,0
please,please,s,Positivity,0
all,all,c,,0
",",",",s,,0
and,and,s,,0
no,no,s,DenyDisclaim,0
man,man,s,DenyDisclaim,1
here,here,s,SpaceRelation,0
offend,offend,c,Anger,0
.,.,n,Immediacy,0
Here,here,s,Immediacy,1
is,is,s,Immediacy,2
no,no,s,DenyDisclaim,0
gall,gall,c,AbstractConcepts,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
any,any,s,,0
bitter,bitter,s,Negativity,0
stuff,stuff,n,Uncertainty,0
To,to,s,,0
quippe,quippe,s,UNRECOGNIZED,0
men's,men's,s,PersonProperty,0
vices,vices,s,Negativity,0
in,in,s,Specifiers,0
particular,particular,c,Specifiers,1
",",",",n,,0
Such,such,s,Intensity,0
snarling,snarling,s,Anger,0
tricks,tricks,c,SubjectivePercept,0
",",",",s,,0
are,are,s,Positivity,0
free,free,s,Positivity,1
from,from,s,,0
him,him,s,PersonPronoun,0
and,and,s,,0
his,his,c,PersonPronoun,0
:,:,n,,0
Then,then,s,,0
wrest,wrest,s,Resistance,0
not,not,s,DenyDisclaim,0
sense,sense,c,AbstractConcepts,0
",",",",s,,0
to,to,s,AbstractConcepts,0
what,what,s,AbstractConcepts,1
was,was,s,ProjectBack,0
never,never,s,DenyDisclaim,0
meant,meant,c,SubjectivePercept,0
;,;,n,,0
If,if,s,Contingency,0
ought,ought,s,Insist,0
be,be,s,Insist,1
wanting,wanting,c,PrivateThinking,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
want,want,s,ProjectAhead,0
of,of,s,,0
skill,skill,c,StandardsPos,0
",",",",n,,0
Not,not,s,DenyDisclaim,0
want,want,s,ProjectAhead,0
of,of,s,,0
willing,willing,s,SubjectivePercept,0
minds,minds,s,SubjectivePercept,1
to,to,s,,0
give,give,s,,0
content,content,n,Positivity,0
To,to,s,Positivity,1
high,high,s,Generalization,0
and,and,s,Generalization,1
low,low,c,Generalization,2
",",",",s,,0
to,to,s,Generalization,0
all,all,s,Generalization,1
of,of,s,,0
each,each,s,Specifiers,0
degree,degree,c,AbstractConcepts,0
;,;,n,,0
Then,then,s,Sequence,0
give,give,s,Sequence,1
me,me,s,FirstPer,0
leave,leave,c,,0
",",",",s,,0
kind,kind,s,Positivity,0
