YOU'RE,you're,s,DirectAddress,0
early,early,s,SubjectiveTime,0
Pedro,pedro,c,AbstractConcepts,0
.,.,nn,,0
Not,not,s,Resistance,0
so,so,s,Resistance,1
early,early,c,SubjectiveTime,0
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",n,Resistance,0
But,but,s,Resistance,1
I,i,s,SelfDisclosure,0
Have,have,s,SelfDisclosure,1
already,already,s,Updates,0
seen,seen,s,SpaceRelation,0
our,our,s,Inclusive,0
watch,watch,s,,0
relieved,relieved,c,Reassure,0
",",",",n,,0
And,and,s,,0
bid,bid,s,ReportingEvents,0
our,our,s,Inclusive,0
Guards,guards,s,Resistance,0
be,be,s,StandardsPos,0
careful,careful,s,StandardsPos,1
of,of,s,,0
their,their,s,Responsibility,0
Charge,charge,c,Responsibility,1
",",",",n,,0
The,the,s,SenseObject,0
Fort,fort,s,SenseObject,1
being,being,s,ReportingStates,0
all,all,s,Inclusive,0
our,our,s,Inclusive,1
Strength,strength,c,AbstractConcepts,0
.,.,nn,,0
Our,our,s,Inclusive,0
common,common,s,Inclusive,1
safety,safety,n,StandardsPos,0
Requires,requires,s,CommonAuthorities,0
strict,strict,s,CommonAuthorities,0
Eyes,eyes,s,SpaceRelation,0
upon,upon,s,SpaceRelation,1
these,these,s,Immediacy,0
Islanders,islanders,c,PersonProperty,0
:,:,n,,0
Believe,believe,s,PrivateThinking,0
me,me,c,FirstPer,0
",",",",s,,0
Sirs,sirs,c,PersonProperty,0
",",",",s,,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
false,false,s,StandardsNeg,0
and,and,s,,0
desperate,desperate,s,Negativity,0
People,people,c,PersonProperty,0
",",",",n,,0
And,and,s,,0
cruel,cruel,s,Anger,0
as,as,s,TimeDuration,0
they,they,s,TimeDuration,1
are,are,s,TimeDuration,2
crafty,crafty,c,StandardsPos,0
",",",",s,,0
when,when,s,TimeShift,0
they,they,s,TimeShift,1
find,find,n,,0
The,the,s,,0
least,least,s,Comparison,0
advantage,advantage,s,StandardsPos,0
of,of,s,StandardsPos,1
Surprise,surprise,c,PrivateThinking,0
.,.,nn,ReportingStates,0
It,it,s,ReportingStates,1
Is,is,s,ReportingStates,2
plain,plain,c,SenseProperty,0
:,:,n,,0
Their,their,s,PersonPronoun,0
late,late,s,SubjectiveTime,0
attempt,attempt,s,ProjectAhead,0
is,is,s,SubjectiveTime,0
yet,yet,s,SubjectiveTime,1
too,too,s,,0
fresh,fresh,s,SenseProperty,0
amongst,amongst,s,SpaceRelation,0
us,us,c,Inclusive,0
",",",",n,,0
In,in,s,Specifiers,0
which,which,s,Specifiers,1
against,against,s,,0
all,all,s,,0
Arms,arms,s,SenseObject,0
and,and,s,,0
Honesty,honesty,n,StandardsPos,0
The,the,s,CommonAuthorities,0
Governor,governor,s,CommonAuthorities,1
of,of,s,,0
Ternata,ternata,s,UNRECOGNIZED,0
seized,seized,s,,0
by,by,s,SubjectivePercept,0
stealth,stealth,n,SubjectivePercept,1
This,this,s,,0
Islands,islands,s,SenseObject,0
Monarch,monarch,c,PersonProperty,0
",",",",s,,0
our,our,s,Inclusive,0
confederate,confederate,s,PersonProperty,0
King,king,c,PersonProperty,0
",",",",n,,0
While,while,s,TimeDuration,0
for,for,s,,0
diversion,diversion,s,SubjectivePercept,0
coasting,coasting,s,Motions,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
Barge,barge,c,SenseObject,0
.,.,nn,,0
His,his,s,PersonPronoun,0
royal,royal,s,CommonAuthorities,0
Sister,sister,c,PersonProperty,0
",",",",s,,0
the,the,s,Positivity,0
fair,fair,s,Positivity,1
Quisara,quisara,c,UNRECOGNIZED,0
",",",",n,,0
Has,has,s,,0
showed,showed,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
noble,noble,s,StandardsPos,0
Mind,mind,c,SubjectivePercept,0
",",",",s,,0
and,and,s,,0
tendrest,tendrest,s,UNRECOGNIZED,0
Love,love,n,Positivity,0
To,to,s,Positivity,1
her,her,s,PersonPronoun,0
afflicted,afflicted,s,Negativity,0
Brother,brother,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Nobler,nobler,c,Comparison,0
",",",",n,,0
Because,because,s,ReasonBackward,0
his,his,s,PersonPronoun,0
Ruin,ruin,s,Negativity,0
Styles,styles,s,ReportingEvents,0
her,her,s,ReportingEvents,1
Absolute,absolute,c,Confidence,0
",",",",n,,0
