O,o,s,LangRef,0
This,this,s,,0
old,old,s,SenseProperty,0
wretched,wretched,s,Negativity,0
Age,age,c,Specifiers,0
",",",",s,,0
the,the,s,,0
neighboring,neighboring,s,SpaceRelation,0
bounds,bounds,s,Motions,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
last,last,s,Biographical_Time,0
breath,breath,c,Biographical_Time,1
",",",",s,,0
and,and,s,,0
you,you,n,DirectAddress,0
unhappy,unhappy,s,Negativity,0
Fates,fates,c,SubjectivePercept,0
",",",",s,,0
long,long,s,StandardsPos,0
life,life,s,StandardsPos,1
on,on,s,,0
us,us,s,Inclusive,0
have,have,s,DirectAddress,0
you,you,s,DirectAddress,1
bestowed,bestowed,s,StandardsPos,0
for,for,s,,0
this,this,c,,0
?,?,s,Question,0
or,or,s,,0
for,for,s,,0
these,these,s,Immediacy,0
uses,uses,c,ReportingEvents,0
:,:,n,,0
That,that,s,Insist,0
we,we,s,Insist,1
should,should,s,Insist,2
behold,behold,s,SpaceRelation,0
our,our,s,Inclusive,0
Temples,temples,s,SenseObject,0
lewdly,lewdly,c,Negativity,0
",",",",s,,0
cursedly,cursedly,s,Negativity,0
defiled,defiled,c,StandardsNeg,0
",",",",s,,0
our,our,s,Inclusive,0
holy,holy,s,StandardsPos,0
things,things,n,Uncertainty,0
profaned,profaned,c,ReportingStates,0
",",",",s,ReportingStates,1
our,our,s,Inclusive,0
Country,country,s,Inclusive,1
slav'd,slav'd,c,UNRECOGNIZED,0
",",",",s,,0
the,the,s,,0
Relics,relics,s,ProjectBack,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Fame,fame,s,StandardsPos,0
(,(,c,,0
which,which,s,,0
none,none,s,DenyDisclaim,0
might,might,n,Contingency,0
enter,enter,c,ReportingEvents,0
),),s,,0
broken,broken,s,SenseProperty,0
before,before,s,Sequence,0
me,me,c,FirstPer,0
",",",",s,,0
and,and,s,,0
the,the,s,CommonAuthorities,0
sacred,sacred,s,CommonAuthorities,1
gold,gold,s,SenseObject,0
rent,rent,s,AbstractConcepts,0
from,from,s,,0
the,the,s,SenseObject,0
posts,posts,c,SenseObject,1
:,:,s,Question,0
what,what,s,Question,1
ere,ere,s,ProjectAhead,0
the,the,n,ProjectAhead,1
greedy,greedy,s,Negativity,0
will,will,s,PredictedFuture,0
of,of,s,,0
stern,stern,s,SenseObject,0
Gabinius,gabinius,s,UNRECOGNIZED,0
could,could,s,Contingency,0
by,by,s,,0
Rapine,rapine,s,Negative_Relation,0
gain,gain,c,,0
",",",",s,,0
or,or,s,,0
Anthonies,anthonies,s,UNRECOGNIZED,0
luxurious,luxurious,n,Positivity,0
power,power,s,AbstractConcepts,0
exhaust,exhaust,c,ReportingEvents,0
",",",",s,Generalization,0
all,all,s,Generalization,1
is,is,s,ReportingStates,0
lost,lost,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
we,we,s,Inclusive,0
have,have,s,Inclusive,1
been,been,s,ProjectBack,0
