GAllants,gallants,c,SubjectivePercept,0
",",",",s,,0
you're,you're,s,DirectAddress,0
welcome,welcome,s,DirectAddress,1
to,to,s,DirectAddress,2
our,our,s,Inclusive,0
homely,homely,s,Negativity,0
cheer,cheer,c,Positivity,0
:,:,n,,0
If,if,s,Contingency,0
you,you,s,DirectAddress,0
have,have,s,DirectAddress,1
brought,brought,s,DirectAddress,0
your,your,s,DirectAddress,1
English,english,s,AbstractConcepts,0
Stomachs,stomachs,s,SenseObject,0
here,here,c,SpaceRelation,0
;,;,n,,0
We'll,we'll,s,ProjectAhead,0
treat,treat,s,ReportingEvents,0
you,you,c,DirectAddress,0
",",",",s,,0
as,as,s,,0
the,the,s,,0
French,french,s,AbstractConcepts,0
say,say,c,Citations,0
",",",",s,,0
Cherentine,cherentine,c,UNRECOGNIZED,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
what,what,s,,0
we,we,s,,0
want,want,s,ProjectAhead,0
of,of,s,,0
Humor,humor,c,Positivity,0
",",",",s,,0
or,or,s,,0
of,of,s,,0
Wit,wit,c,StandardsPos,0
",",",",n,,0
Make,make,s,Reassure,0
up,up,s,Reassure,1
with,with,s,Reassure,2
your,your,s,Reassure,3
She-Neighbours,she-neighbours,s,UNRECOGNIZED,0
in,in,s,,0
the,the,s,SenseObject,0
Pit,pit,c,SenseObject,1
;,;,n,,0
For,for,s,,0
on,on,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Stage,stage,s,SpaceRelation,2
whatever,whatever,s,Uncertainty,0
we,we,s,,0
do,do,c,GenericEvents,0
",",",",s,GenericEvents,1
or,or,s,,0
say,say,c,Citations,0
",",",",n,,0
The,the,s,,0
Vizard,vizard,s,SenseObject,0
Masks,masks,s,SenseObject,1
can,can,s,StandardsPos,0
find,find,s,StandardsPos,1
you,you,s,DirectAddress,0
better,better,s,Comparison,0
play,play,c,ReportingEvents,0
:,:,n,,0
With,with,s,Generalization,0
all,all,s,Generalization,1
our,our,s,Inclusive,0
pains,pains,c,SenseProperty,0
",",",",s,,0
we,we,s,Contingency,0
can,can,s,Contingency,1
but,but,s,Resistance,0
bring,bring,s,,0
',',c,,0
em,em,s,SpaceRelation,0
in,in,c,,0
;,;,n,,0
It,it,s,DirectAddress,0
Is,is,s,DirectAddress,1
you,you,s,DirectAddress,2
must,must,s,Insist,0
take,take,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Damsels,damsels,s,SenseObject,0
out,out,s,,0
again,again,c,RecurringEvents,0
:,:,n,,0
And,and,s,,0
when,when,s,,0
we,we,s,Inclusive,0
have,have,s,Inclusive,1
brought,brought,s,DirectAddress,0
you,you,s,DirectAddress,1
kindly,kindly,s,StandardsPos,0
thus,thus,s,ReasonForward,0
together,together,c,Inclusive,0
",",",",n,,0
It,it,s,DirectAddress,0
Is,is,s,DirectAddress,1
your,your,s,DirectAddress,2
fault,fault,s,StandardsNeg,0
if,if,s,Contingency,0
you're,you're,s,DirectAddress,0
parted,parted,s,ReportingEvents,0
by,by,s,,0
foul,foul,s,Negative_Relation,0
weather,weather,c,Negative_Relation,1
.,.,n,,0
We,we,s,,0
hope,hope,s,Positivity,0
these,these,s,Immediacy,0
natural,natural,s,AbstractConcepts,0
Reasons,reasons,s,AbstractConcepts,0
may,may,s,Contingency,0
produce,produce,c,AbstractConcepts,0
",",",",n,,0
In,in,s,,0
every,every,s,Generalization,0
Whoremaster,whoremaster,c,StandardsNeg,0
",",",",s,,0
a,a,s,,0
kind,kind,s,Positivity,0
excuse,excuse,n,Negativity,0
For,for,s,Negativity,1
all,all,s,Inclusive,0
our,our,s,Inclusive,1
Faults,faults,c,StandardsNeg,0
",",",",s,,0
the,the,s,,0
Poet's,poet's,c,CommunicatorRole,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Players,players,c,PersonProperty,0
",",",",n,,0
You,you,s,DirectAddress,0
Will,will,s,PredictedFuture,0
pardon,pardon,s,Positivity,0
us,us,c,Inclusive,0
",",",",s,,0
if,if,s,Contingency,0
you,you,s,DirectAddress,0
can,can,s,StandardsPos,0
find,find,s,StandardsPos,1
out,out,s,Negativity,0
theirs,theirs,c,Negativity,1
.,.,s,,0
[,[,c,,0
To,to,s,,0
the,the,s,,0
Maskers,maskers,c,PersonProperty,0
.,.,n,Resistance,0
But,but,s,Resistance,1
to,to,s,,0
the,the,s,,0
gentler,gentler,s,SenseProperty,0
Men,men,c,PersonProperty,0
",",",",s,,0
who,who,s,,0
love,love,s,Positivity,0
at,at,s,SpaceRelation,0
sight,sight,c,SpaceRelation,1
",",",",n,,0
And,and,s,,0
never,never,s,DenyDisclaim,0
care,care,s,ProjectAhead,0
to,to,s,ProjectAhead,1
come,come,s,ReportingEvents,0
to,to,s,,0
closer,closer,s,Comparison,0
fight,fight,c,Resistance,0
",",",",n,,0
We,we,s,Inclusive,0
have,have,s,Inclusive,1
provided,provided,s,ReportingEvents,0
work,work,s,ReportingEvents,0
for,for,s,ReportingEvents,1
them,them,s,,0
to,to,s,,0
night,night,c,,0
.,.,n,,0
With,with,s,StandardsPos,0
safety,safety,s,StandardsPos,1
they,they,s,,0
may,may,s,Contingency,0
draw,draw,s,Motions,0
their,their,s,PersonPronoun,0
Cannon,cannon,s,SenseObject,0
down,down,c,,0
",",",",n,,0
And,and,s,,0
into,into,s,Transformation,0
a,a,s,Transformation,1
Surrender,surrender,s,Resistance,0
bomb,bomb,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Town,town,c,SpaceRelation,0
.,.,n,,0
From,from,s,,0
both,both,s,,0
side-boxes,side-boxes,s,UNRECOGNIZED,0
play,play,s,ReportingEvents,0
their,their,s,PersonPronoun,0
Batteries,batteries,c,SenseObject,0
;,;,n,,0
And,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
a,a,s,,0
Bullet,bullet,s,SenseObject,0
shot,shot,c,ReportingStates,0
",",",",s,ReportingStates,1
but,but,s,Resistance,0
burning,burning,s,SenseProperty,0
Eyes,eyes,c,SenseObject,0
:,:,n,,0
Those,those,s,,0
they,they,s,,0
discharge,discharge,s,Negativity,0
with,with,s,Specifiers,0
such,such,s,Specifiers,1
successful,successful,s,StandardsPos,0
Arts,arts,c,AbstractConcepts,0
",",",",n,,0
They,they,s,,0
fire,fire,c,SenseObject,0
",",",",s,,0
three,three,s,Numbers,0
deep,deep,c,AbstractConcepts,0
",",",",s,,0
into,into,s,Transformation,0
the,the,s,Transformation,1
Ladies,ladies,s,PersonProperty,0
hearts,hearts,c,SenseObject,0
.,.,n,,0
Since,since,s,,0
each,each,s,Inclusive,0
Man,man,s,Inclusive,1
here,here,s,SpaceRelation,0
finds,finds,s,ReportingEvents,0
his,his,s,PersonPronoun,0
Diversion,diversion,c,SubjectivePercept,0
",",",",n,,0
Let,let,s,ReportingEvents,0
not,not,s,DenyDisclaim,0
the,the,s,DenyDisclaim,1
damning,damning,s,Negative_Relation,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Play,play,s,ReportingEvents,0
be,be,s,ReportingStates,0
one,one,c,Numbers,0
.,.,n,Resistance,0
But,but,s,Resistance,1
to,to,s,,0
the,the,s,PersonProperty,0
Ladies,ladies,c,PersonProperty,1
",",",",s,,0
who,who,s,,0
must,must,s,Insist,0
sit,sit,s,Resistance,0
it,it,s,Resistance,1
out,out,c,Resistance,2
",",",",n,,0
To,to,s,,0
hear,hear,s,SpaceRelation,0
us,us,s,Inclusive,0
prate,prate,c,Negativity,0
",",",",s,,0
and,and,s,,0
see,see,s,,0
the,the,s,,0
Oglers,oglers,s,UNRECOGNIZED,0
shoot,shoot,c,ReportingEvents,0
",",",",n,,0
Begging,begging,s,Intensity,0
