SInce,since,s,ReasonBackward,0
it,it,s,ReasonBackward,1
is,is,s,ReasonBackward,2
the,the,s,,0
Intent,intent,s,PrivateThinking,0
and,and,s,,0
Business,business,s,AbstractConcepts,0
of,of,s,,0
the,the,s,,0
Stag^,stag^,c,UNRECOGNIZED,0
",",",",n,,0
To,to,s,,0
Copy,copy,s,ReportingEvents,0
out,out,s,ReportingEvents,1
the,the,s,,0
Follies,follies,s,SenseProperty,0
of,of,s,,0
the,the,s,,0
Age,age,c,Specifiers,0
;,;,n,,0
To,to,s,,0
hold,hold,s,ReportingEvents,0
to,to,s,ReportingEvents,1
every,every,s,Inclusive,0
Man,man,s,Inclusive,1
a,a,s,CommonAuthorities,0
Faithful,faithful,s,CommonAuthorities,1
Glass,glass,c,SenseObject,0
",",",",n,,0
And,and,s,,0
show,show,s,ReportingEvents,0
him,him,s,PersonPronoun,0
of,of,s,Curiosity,0
what,what,s,Curiosity,1
Species,species,s,AbstractConcepts,0
he,he,s,Updates,0
is,is,s,Updates,1
an,an,s,,0
Ass,ass,c,Negativity,0
.,.,n,,0
I,i,s,SelfDisclosure,0
hope,hope,s,SelfDisclosure,1
the,the,s,Sequence,0
next,next,s,Sequence,1
that,that,s,,0
teaches,teaches,s,ReportingEvents,0
in,in,s,ReportingEvents,1
the,the,s,ReportingEvents,2
School,school,c,,0
",",",",n,,0
Will,will,s,PredictedFuture,0
show,show,s,ReportingEvents,0
our,our,s,Inclusive,0
Author,author,s,CommunicatorRole,0
he,he,s,Neutral_Attribution,0
is,is,s,Neutral_Attribution,1
a,a,s,Neutral_Attribution,2
scribbling,scribbling,s,Motions,0
Fool,fool,c,Negativity,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
that,that,s,,0
the,the,s,,0
Satyr,satyr,s,SenseObject,0
may,may,s,Contingency,0
be,be,s,Contingency,1
sure,sure,s,Confidence,0
to,to,s,Confidence,1
Bite,bite,c,Motions,0
",",",",n,,0
Kind,kind,s,Positivity,0
Heaven,heaven,c,Positivity,0
!,!,s,,0
Inspire,inspire,s,StandardsPos,0
some,some,s,Uncertainty,0
venomed,venomed,s,UNRECOGNIZED,0
Priest,priest,s,PersonProperty,0
to,to,s,,0
Write,write,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
grant,grant,s,CommonAuthorities,0
some,some,s,Uncertainty,0
Ugly,ugly,s,Negativity,0
Lady,lady,s,PersonProperty,0
may,may,s,Contingency,0
Indite,indite,c,GenericEvents,0
.,.,n,,0
For,for,s,,0
I,i,s,SelfDisclosure,0
would,would,s,SelfDisclosure,1
have,have,s,SelfDisclosure,2
him,him,s,PersonPronoun,0
lashed,lashed,c,ReportingStates,0
",",",",s,ReportingStates,1
by,by,s,,0
Heavens,heavens,c,Positivity,0
!,!,s,,0
I,i,s,SelfDisclosure,0
would,would,c,SelfDisclosure,1
",",",",n,,0
Till,till,s,Motions,0
his,his,s,Motions,1
presumption,presumption,s,ReasonForward,0
swam,swam,s,ReportingEvents,0
away,away,s,,0
in,in,s,SenseProperty,0
Blood,blood,c,SenseProperty,1
.,.,n,,0
Three,three,s,Numbers,0
Plays,plays,s,SubjectivePercept,0
at,at,s,SubjectivePercept,1
once,once,s,TimeShift,0
proclaims,proclaims,s,Citations,0
a,a,s,SenseObject,0
Face,face,s,SenseObject,1
of,of,s,,0
Brass,brass,c,SenseObject,0
",",",",n,,0
No,no,s,Intensity,0
matter,matter,s,Intensity,1
what,what,s,Intensity,2
they,they,s,ReportingStates,0
are,are,c,ReportingStates,1
!,!,s,,0
That,that,s,Specifiers,0
Is,is,s,Specifiers,1
not,not,s,DenyDisclaim,0
the,the,s,DenyDisclaim,1
Case,case,c,AbstractConcepts,0
",",",",n,,0
To,to,s,,0
Write,write,s,ReportingEvents,0
three,three,s,Numbers,0
Plays,plays,c,ReportingEvents,0
",",",",s,,0
even,even,s,SubjectivePercept,0
that,that,s,CommonAuthorities,0
is,is,s,CommonAuthorities,1
to,to,s,CommonAuthorities,2
be,be,s,CommonAuthorities,3
an,an,s,CommonAuthorities,4
Ass,ass,c,Negativity,0
.,.,n,Resistance,0
But,but,s,Resistance,1
what,what,s,,0
I,i,s,FirstPer,0
least,least,s,Comparison,0
forgive,forgive,c,Reassure,0
",",",",s,,0
he,he,s,Neutral_Attribution,0
knows,knows,s,Neutral_Attribution,1
it,it,s,,0
too,too,c,Metadiscourse,0
",",",",n,Metadiscourse,1
For,for,s,ProjectAhead,0
to,to,s,ProjectAhead,1
his,his,s,PersonPronoun,0
Cost,cost,s,AbstractConcepts,0
he,he,s,PersonPronoun,0
lately,lately,s,Updates,0
has,has,s,Updates,0
known,known,s,Updates,1
you,you,c,DirectAddress,0
.,.,n,Imperative,0
Experience,experience,s,Imperative,1
shows,shows,c,ReportingEvents,0
",",",",s,,0
to,to,s,,0
many,many,s,,0
a,a,s,,0
Writers,writers,s,PersonProperty,0
smart,smart,n,Positivity,0
You,you,s,DirectAddress,0
hold,hold,s,TimeDuration,0
a,a,s,TimeDuration,1
Court,court,s,TimeDuration,2
where,where,s,,0
mercy,mercy,s,StandardsPos,0
never,never,s,Biographical_Time,0
had,had,s,Biographical_Time,1
part,part,c,,0
;,;,n,,0
So,so,s,Intensity,0
much,much,s,Intensity,1
of,of,s,,0
the,the,s,,0
old,old,s,SenseProperty,0
Serpent's,serpent's,s,,0
Sting,sting,s,Negativity,0
you,you,s,DirectAddress,0
have,have,c,DirectAddress,1
",",",",n,,0
You,you,s,DirectAddress,0
Love,love,s,Positivity,0
to,to,s,Positivity,1
Damn,damn,c,Anger,0
",",",",s,,0
as,as,s,,0
Heaven,heaven,s,Positivity,0
Delights,delights,s,Positivity,0
to,to,s,StandardsPos,0
Save,save,c,StandardsPos,1
.,.,n,,0
In,in,s,Specifiers,0
Foreign,foreign,s,Specifiers,1
Parts,parts,c,Specifiers,2
",",",",s,,0
let,let,s,ReportingEvents,0
a,a,s,ReportingEvents,1
bold,bold,s,Confidence,0
Voluntiere,voluntiere,c,UNRECOGNIZED,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
public,public,s,CommonAuthorities,0
Good,good,s,,0
upon,upon,s,,0
the,the,s,SenseObject,0
Stage,stage,s,SenseObject,1
appear,appear,c,SubjectivePercept,0
",",",",n,,0
He,he,s,Neutral_Attribution,0
meets,meets,s,Neutral_Attribution,1
ten,ten,s,Numbers,0
thousand,thousand,s,Numbers,1
Smiles,smiles,s,Positivity,0
to,to,s,,0
Dissipate,dissipate,s,Transformation,0
his,his,s,PersonPronoun,0
Fear,fear,c,Fear,0
.,.,n,,0
All,all,s,,0
tickle,tickle,s,Motions,0
on,on,c,,0
",",",",s,,0
the,the,s,,0
adventuring,adventuring,s,Innovations,0
young,young,s,SenseProperty,0
Beginner,beginner,c,Sequence,0
",",",",n,,0
And,and,s,,0
only,only,s,SubjectivePercept,0
scourge,scourge,s,Negative_Relation,0
the,the,s,,0
incorragible,incorragible,s,UNRECOGNIZED,0
Sinner,sinner,c,PersonProperty,0
;,;,n,,0
They,they,s,,0
touch,touch,s,Motions,0
indeed,indeed,s,Intensity,0
his,his,s,PersonPronoun,0
Faults,faults,c,StandardsNeg,0
",",",",s,Resistance,0
but,but,s,Resistance,1
with,with,s,Specifiers,0
a,a,s,Specifiers,1
hand,hand,n,SenseObject,0
So,so,s,,0
gentle,gentle,c,Positivity,0
",",",",s,,0
that,that,s,,0
his,his,s,PersonPronoun,0
Merit,merit,s,StandardsPos,0
still,still,s,Updates,0
may,may,s,Contingency,0
stand,stand,c,AbstractConcepts,0
:,:,n,,0
Kindly,kindly,s,StandardsPos,0
they,they,s,,0
Buoy,buoy,s,Positivity,0
the,the,s,Positivity,1
Follies,follies,s,SenseProperty,0
of,of,s,,0
his,his,s,PersonPronoun,0
Pen,pen,c,SenseObject,0
",",",",n,,0
That,that,s,,0
he,he,s,PersonPronoun,0
may,may,s,Contingency,0
shun,shun,s,Negative_Relation,0
',',c,,0
em,em,s,SpaceRelation,0
when,when,s,TimeShift,0
he,he,s,TimeShift,1
Writes,writes,s,ReportingEvents,0
again,again,c,RecurringEvents,0
.,.,n,Resistance,0
But,but,s,Resistance,1
it,it,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
not,not,s,DenyDisclaim,2
so,so,c,DenyDisclaim,3
",",",",s,,0
in,in,s,,0
this,this,s,,0
good,good,s,StandardsPos,0
natured,natured,s,StandardsPos,1
Town,town,c,SpaceRelation,0
",",",",n,Generalization,0
All,all,s,Generalization,1
Is,is,s,ReportingStates,0
one,one,c,Numbers,0
",",",",s,,0
an,an,s,,0
Ox,ox,c,SenseObject,0
",",",",s,,0
a,a,s,,0
P^et,p^et,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
a,a,s,SenseObject,0
Crown,crown,c,SenseObject,1
",",",",n,,0
Old,old,s,SenseProperty,0
England's,england's,s,UNRECOGNIZED,0
play,play,s,ReportingEvents,0
was,was,s,ProjectBack,0
always,always,s,SubjectiveTime,0
knocking,knocking,s,Motions,0
Down,down,c,Motions,1
.,.,nn,Question,0
WHAT,what,s,Question,1
cloying,cloying,s,Negative_Relation,0
meat,meat,s,SenseObject,0
is,is,s,ReportingStates,0
Love,love,c,Positivity,0
",",",",s,,0
--,--,s,,0
when,when,s,,0
Matrimony's,matrimony's,s,UNRECOGNIZED,0
the,the,s,SenseObject,0
Sauce,sauce,s,SenseObject,1
to,to,s,,0
it,it,c,,0
.,.,s,,0
Two,two,s,TimeDuration,0
years,years,n,TimeDuration,1
Marriage,marriage,s,CommonAuthorities,0
has,has,s,,0
debaucht,debaucht,s,UNRECOGNIZED,0
my,my,s,FirstPer,0
five,five,s,Numbers,0
Senses,senses,c,Numbers,1
.,.,s,,0
Every,every,s,Generalization,0
thing,thing,s,Generalization,1
I,i,s,FirstPer,0
see,see,c,,0
",",",",s,,0
every,every,s,Generalization,0
thing,thing,s,Generalization,1
I,i,s,FirstPer,0
hear,hear,c,SpaceRelation,0
",",",",n,,0
every,every,s,Generalization,0
thing,thing,s,Generalization,1
I,i,s,SelfDisclosure,0
feel,feel,c,SelfDisclosure,1
",",",",s,,0
every,every,s,Generalization,0
thing,thing,s,Generalization,1
I,i,s,FirstPer,0
smell,smell,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
every,every,s,Generalization,0
thing,thing,s,Generalization,1
I,i,s,FirstPer,0
taste,taste,s,SenseProperty,0
--,--,s,,0
methinks,methinks,n,SelfDisclosure,0
has,has,s,,0
Wife,wife,s,PersonProperty,0
in,in,s,,0
it,it,nn,,0
No,no,s,DenyDisclaim,0
Boy,boy,s,PersonProperty,0
was,was,s,ProjectBack,0
ever,ever,s,Intensity,0
so,so,s,Intensity,1
weary,weary,s,Negativity,0
of,of,s,Negativity,1
his,his,s,PersonPronoun,0
Tutor,tutor,c,PersonProperty,0
;,;,s,,0
no,no,s,DenyDisclaim,0
Girl,girl,s,PersonProperty,0
of,of,s,,0
her,her,s,PersonPronoun,0
Bib,bib,c,SenseObject,0
;,;,s,,0
no,no,s,DenyDisclaim,0
Nun,nun,s,PersonProperty,0
of,of,s,,0
doing,doing,n,CommonAuthorities,0
Penance,penance,s,CommonAuthorities,1
nor,nor,s,DenyDisclaim,0
Old,old,s,Negativity,0
Maid,maid,s,Negativity,1
of,of,s,ReportingStates,0
being,being,s,ReportingStates,1
Chaste,chaste,c,StandardsPos,0
",",",",s,,0
as,as,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
am,am,s,FirstPer,0
of,of,s,ReportingStates,0
being,being,s,ReportingStates,1
Married,married,nn,Biographical_Time,0
Sure,sure,s,Confidence,0
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
a,a,s,ReportingStates,2
secret,secret,s,AbstractConcepts,0
Curse,curse,s,Negativity,0
entailed,entailed,s,ReasonForward,0
upon,upon,s,,0
the,the,s,Intensity,0
very,very,s,Intensity,1
Name,name,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
Wife,wife,c,PersonProperty,0
.,.,s,,0
My,my,s,FirstPer,0
Lady,lady,s,PersonProperty,0
is,is,s,ReportingStates,0
a,a,n,ReportingStates,1
young,young,s,PersonProperty,0
Lady,lady,c,PersonProperty,1
",",",",s,,0
a,a,s,Positivity,0
fine,fine,s,Positivity,1
Lady,lady,c,PersonProperty,0
",",",",s,,0
a,a,s,,0
Witty,witty,s,StandardsPos,0
Lady,lady,c,PersonProperty,0
",",",",s,,0
a,a,s,,0
Virtuous,virtuous,s,StandardsPos,0
Lady,lady,s,PersonProperty,0
--,--,s,,0
and,and,s,Resistance,0
yet,yet,s,Resistance,1
I,i,s,FirstPer,0
hate,hate,s,Negativity,0
her,her,c,PersonPronoun,0
.,.,n,ReportingStates,0
There,there,s,ReportingStates,1
is,is,s,ReportingStates,2
but,but,s,Exceptions,0
one,one,s,Exceptions,1
thing,thing,s,Uncertainty,0
on,on,s,SpaceRelation,0
Earth,earth,s,SpaceRelation,1
I,i,s,FirstPer,0
loath,loath,s,Negative_Relation,0
beyond,beyond,s,,0
her,her,c,PersonPronoun,0
:,:,s,,0
That,that,s,Specifiers,0
Is,is,s,Specifiers,1
fighting,fighting,c,Resistance,0
.,.,s,Future_Question,0
Would,would,s,Future_Question,1
my,my,n,FirstPer,0
Courage,courage,s,StandardsPos,0
come,come,s,ReportingEvents,0
up,up,s,ReportingEvents,1
but,but,s,Resistance,0
to,to,s,Resistance,1
a,a,s,,0
fourth,fourth,s,Sequence,0
part,part,s,Sequence,1
of,of,s,Sequence,2
my,my,s,FirstPer,0
Ill,ill,s,StandardsNeg,0
Nature,nature,c,StandardsNeg,1
",",",",s,,0
I,i,s,SelfDisclosure,0
Would,would,s,SelfDisclosure,1
stand,stand,s,AbstractConcepts,0
buff,buff,s,Motions,0
to,to,s,PersonPronoun,0
her,her,n,PersonPronoun,1
Relations,relations,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
thrust,thrust,s,Narrative_Verbs,0
her,her,s,Narrative_Verbs,1
out,out,s,SpaceRelation,0
of,of,s,SpaceRelation,1
Doors,doors,nn,SpaceRelation,2
But,but,s,Resistance,0
Marriage,marriage,s,CommonAuthorities,0
has,has,s,,0
sunk,sunk,s,ReportingEvents,0
me,me,s,FirstPer,0
down,down,s,SceneShift,0
to,to,s,SceneShift,1
such,such,s,Specifiers,0
an,an,s,Specifiers,1
Ebb,ebb,s,TimeDuration,0
of,of,s,TimeDuration,1
Resolution,resolution,c,StandardsPos,0
",",",",s,,0
I,i,s,FirstPer,0
dare,dare,s,SubjectivePercept,0
not,not,s,DenyDisclaim,0
draw,draw,s,Motions,0
my,my,n,FirstPer,0
Sword,sword,c,SenseObject,0
",",",",s,,0
tho,tho,s,LangRef,0
even,even,s,SubjectivePercept,0
to,to,s,ProjectAhead,0
get,get,s,ProjectAhead,1
rid,rid,s,Resistance,0
of,of,s,Resistance,1
my,my,s,FirstPer,0
Wife,wife,c,PersonProperty,0
.,.,s,Resistance,0
But,but,s,Resistance,1
here,here,s,SpaceRelation,0
she,she,s,PersonPronoun,0
comes,comes,nnn,ReportingEvents,0
Do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
Dine,dine,s,SpaceRelation,0
at,at,s,SpaceRelation,1
home,home,s,SceneShift,0
to,to,s,SceneShift,1
day,day,c,TimeDuration,0
",",",",s,,0
Sir,sir,s,PersonProperty,0
John,john,c,PersonProperty,0
?,?,nnn,Question,0
Why,why,c,Question,0
",",",",s,,0
do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
expect,expect,s,ProjectAhead,0
I,i,s,Insist,0
should,should,s,Insist,1
tell,tell,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",s,Autobio,0
what,what,s,Autobio,1
I,i,s,Autobio,2
don't,don't,s,Uncertainty,0
know,know,s,Uncertainty,1
my,my,s,FirstPer,0
self,self,c,SubjectivePercept,0
?,?,nnn,Question,0
I,i,s,SelfDisclosure,0
thought,thought,s,SelfDisclosure,1
there,there,s,ProjectBack,0
was,was,s,ProjectBack,1
no,no,s,Reassure,0
harm,harm,s,Reassure,1
in,in,s,,0
asking,asking,s,DirectAddress,0
you,you,c,DirectAddress,1
.,.,nnn,,0
If,if,s,Contingency,0
thinking,thinking,s,PrivateThinking,0
wrong,wrong,s,StandardsNeg,0
were,were,s,ProjectBack,0
an,an,s,SubjectivePercept,0
excuse,excuse,s,SubjectivePercept,1
for,for,s,,0
Impertinence,impertinence,c,StandardsNeg,0
",",",",s,,0
Women,women,s,PersonProperty,0
might,might,s,Contingency,0
be,be,s,Contingency,1
justified,justified,s,StandardsPos,0
in,in,n,StandardsPos,1
most,most,s,Comparison,0
things,things,s,Uncertainty,0
they,they,s,Citations,0
say,say,s,Citations,1
or,or,s,,0
do,do,nnn,Question,0
I,i,s,Question,1
Am,am,s,FirstPer,0
sorry,sorry,s,Sad,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
said,said,s,Citations,0
any,any,s,Specifiers,0
thing,thing,s,Specifiers,1
to,to,s,,0
displease,displease,s,Negativity,0
you,you,c,DirectAddress,0
.,.,nnn,,0
Sorrow,sorrow,s,Sad,0
for,for,s,Sad,1
things,things,s,ProjectBack,0
past,past,c,ProjectBack,1
",",",",s,,0
is,is,s,ReportingStates,0
of,of,s,ReportingStates,1
as,as,s,,0
little,little,s,SubjectivePercept,0
Importance,importance,s,SubjectivePercept,1
to,to,s,SelfDisclosure,0
me,me,c,SelfDisclosure,1
",",",",s,SelfDisclosure,2
as,as,s,,0
my,my,s,FirstPer,0
dining,dining,s,SpaceRelation,0
at,at,s,SpaceRelation,1
home,home,n,SpaceRelation,0
or,or,s,,0
a,a,s,,0
broad,broad,s,AbstractConcepts,0
ought,ought,s,Insist,0
to,to,s,Insist,1
be,be,s,Intensity,0
to,to,s,Intensity,1
you,you,nnn,DirectAddress,0
My,my,s,FirstPer,0
Enquiry,enquiry,s,PrivateThinking,0
was,was,s,ProjectBack,0
only,only,s,SubjectivePercept,0
that,that,s,,0
I,i,s,FirstPer,0
might,might,s,Contingency,0
have,have,s,Contingency,1
provided,provided,s,ReportingEvents,0
what,what,s,DirectAddress,0
you,you,s,DirectAddress,1
liked,liked,c,Positivity,0
.,.,nnn,,0
Six,six,s,Numbers,0
to,to,s,,0
four,four,s,Numbers,0
you,you,s,DirectAddress,0
had,had,s,DirectAddress,1
been,been,s,ProjectBack,0
in,in,s,StandardsNeg,0
the,the,s,StandardsNeg,1
wrong,wrong,s,StandardsNeg,2
there,there,s,,0
again,again,c,RecurringEvents,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
what,what,s,,0
I,i,s,SelfDisclosure,0
liked,liked,s,SelfDisclosure,1
yesterday,yesterday,n,ProjectBack,0
I,i,s,FirstPer,0
don't,don't,s,Negativity,0
like,like,s,Negativity,1
to,to,s,,0
day,day,c,TimeDuration,0
",",",",s,,0
and,and,s,,0
what,what,s,,0
I,i,s,SelfDisclosure,0
like,like,s,SelfDisclosure,1
to,to,s,SelfDisclosure,2
day,day,c,TimeDuration,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
odds,odds,s,Contingency,0
I,i,s,FirstPer,0
may,may,s,Contingency,0
not,not,s,DenyDisclaim,0
like,like,s,DenyDisclaim,1
to,to,s,,0
morrow,morrow,nnn,ProjectAhead,0
But,but,s,Resistance,0
if,if,s,Contingency,0
I,i,s,Autobio,0
had,had,s,Autobio,1
asked,asked,s,,0
you,you,s,DirectAddress,0
what,what,s,DirectAddress,0
you,you,s,DirectAddress,1
liked,liked,c,Positivity,0
?,?,nnn,Question,0
Why,why,s,Curiosity,0
then,then,s,Curiosity,1
there,there,s,,0
would,would,s,ProjectBack,0
have,have,s,ProjectBack,1
been,been,s,ProjectBack,2
more,more,s,Comparison,0
asking,asking,s,Request,0
about,about,s,Request,1
it,it,c,,0
",",",",s,,0
than,than,s,Comparison,0
the,the,s,Comparison,1
thing,thing,s,Uncertainty,0
was,was,s,ProjectBack,0
worth,worth,c,AbstractConcepts,0
.,.,nnn,,0
I,i,s,FirstPer,0
wish,wish,s,SubjectivePercept,0
I,i,s,FirstPer,0
did,did,s,ReportingEvents,0
but,but,s,Resistance,0
know,know,s,Confidence,0
how,how,s,Confidence,1
I,i,s,FirstPer,0
might,might,s,Contingency,0
please,please,s,Positivity,0
you,you,c,DirectAddress,0
.,.,nnn,,0
Ay,ay,c,OralCues,0
",",",",s,Resistance,0
but,but,s,Resistance,1
that,that,s,Resistance,2
sort,sort,s,Uncertainty,0
of,of,s,Uncertainty,1
knowledge,knowledge,s,CommonAuthorities,0
is,is,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
a,a,s,PersonProperty,0
Wife's,wife's,s,PersonProperty,1
Talent,talent,c,StandardsPos,0
.,.,nnn,Question,0
What,what,s,Question,1
ever,ever,s,Biographical_Time,0
my,my,s,FirstPer,0
Talent,talent,s,StandardsPos,0
is,is,c,ReportingStates,0
",",",",s,,0
I,i,s,SelfDisclosure,0
Am,am,s,SelfDisclosure,1
sure,sure,s,Confidence,0
my,my,s,FirstPer,0
Will,will,s,PredictedFuture,0
has,has,s,ReceivedPOV,0
ever,ever,s,ReceivedPOV,1
been,been,s,ProjectBack,0
to,to,s,,0
make,make,s,DirectAddress,0
you,you,s,DirectAddress,1
easy,easy,c,Positivity,0
.,.,nnn,,0
If,if,s,Contingency,0
Women,women,s,PersonProperty,0
were,were,s,Future_in_Past,0
to,to,s,Future_in_Past,1
have,have,s,Future_in_Past,2
their,their,s,PersonPronoun,0
Wills,wills,c,AbstractConcepts,0
",",",",s,,0
the,the,s,,0
World,world,s,AbstractConcepts,0
would,would,s,Contingency,0
be,be,s,Contingency,1
finely,finely,s,SenseProperty,0
governed,governed,c,ReportingStates,0
.,.,nnn,ReportingStates,1
What,what,s,,0
reason,reason,s,StandardsPos,0
have,have,s,Question,0
I,i,s,Question,1
given,given,s,ReportingStates,0
you,you,s,DirectAddress,0
to,to,s,,0
use,use,s,ReportingEvents,0
me,me,s,FirstPer,0
as,as,s,DirectAddress,0
you,you,s,DirectAddress,1
do,do,s,Intensity,0
of,of,s,Immediacy,0
late,late,c,Immediacy,1
?,?,s,Question,0
It,it,s,,0
once,once,s,ProjectBack,0
was,was,n,ProjectBack,1
otherwise,otherwise,c,Contingency,0
:,:,s,,0
You,you,s,DirectAddress,0
married,married,s,Biographical_Time,0
me,me,s,FirstPer,0
for,for,s,Positivity,0
Love,love,nnn,Positivity,1
And,and,s,,0
you,you,s,DirectAddress,0
me,me,s,FirstPer,0
for,for,s,ProjectAhead,0
Money,money,c,ProjectAhead,1
:,:,s,,0
So,so,s,DirectAddress,0
you,you,s,DirectAddress,1
have,have,s,DirectAddress,0
your,your,s,DirectAddress,1
Reward,reward,c,Positivity,0
",",",",s,,0
and,and,s,,0
